事件名
エリサ・ラム事件
ディアトロフ峠事件
マレーシア航空370便消失事件
グリコ森永事件
世田谷一家殺人事件
三億円事件
ワウ！シグナル宇宙電波の謎
タマム・シュッド事件
マンデラ効果
シカゴのタイムスリップ写真
ケネディ大統領暗殺事件
アポロ計画の月面着陸捏造説
バミューダトライアングル
ゾディアック事件
メアリー・セレスト号事件
リチャード・チェイス事件
イスダルの女事件
フラナン諸島灯台失踪事件
オーロラ事件
エリア51
